city, pop_2015, pop_2010, lat, lon
Yonkers,201,116,195,976,40.9459,-73.8674
Glendale,201,020,191,719,34.1814,-118.2458
Aurora,200,661,197,899,41.7635,-88.2901
Montgomery,200,602,205,764,32.3463,-86.2686
Columbus,200,579,189,885,32.5102,-84.8749
Amarillo,198,645,190,695,35.1978,-101.8287
Little Rock,197,992,193,524,34.7254,-92.3586
Akron,197,542,199,110,41.0805,-81.5214
Shreveport,197,204,199,311,32.4670,-93.7927
Augusta,197,182,195,844,33.3655,-82.0734
Grand Rapids,195,097,188,040,42.9612,-85.6556
Mobile,194,288,195,111,30.6684,-88.1002
Salt Lake City,192,672,186,440,40.7785,-111.9314
Huntsville,190,582,180,105,34.7843,-86.5390
Tallahassee,189,907,181,376,30.4551,-84.2534
Grand Prairie,187,809,175,396,32.6842,-97.0210
Overland Park,186,515,173,372,38.8890,-94.6906
Knoxville,185,291,178,874,35.9709,-83.9465
Worcester,184,815,181,045,42.2695,-71.8078
Brownsville,183,887,175,023,26.0183,-97.4538
Newport News,182,385,180,719,37.0760,-76.5217
Santa Clarita,182,371,176,320,34.4049,-118.5047
Port St. Lucie,179,413,164,603,27.2810,-80.3838
Providence,179,207,178,042,41.8231,-71.4188
Fort Lauderdale,178,590,165,521,26.1413,-80.1439
Chattanooga,176,588,167,674,35.0665,-85.2471
Tempe,175,826,161,719,33.3884,-111.9318
Oceanside,175,691,167,086,33.2246,-117.3062
Garden Grove,175,393,170,883,33.7788,-117.9605
Rancho Cucamonga,175,236,165,269,34.1233,-117.5642
Cape Coral,175,229,154,305,26.6431,-81.9973
Santa Rosa,174,972,167,815,38.4468,-122.7061
Vancouver,172,860,161,791,45.6372,-122.5965
Sioux Falls,171,544,153,888,43.5383,-96.7320
Peoria,171,237,154,065,33.7877,-112.3111
Ontario,171,214,163,924,34.0395,-117.6088
Jackson,170,674,173,514,32.3158,-90.2128
Elk Grove,166,913,153,015,38.4144,-121.3849
Springfield,166,810,159,498,37.1942,-93.2913
Pembroke Pines,166,611,154,019,26.0212,-80.3404
Salem,164,549,154,637,44.9237,-123.0231
Corona,164,226,152,374,33.8624,-117.5639
Eugene,163,460,156,185,44.0567,-123.1162
McKinney,162,898,131,117,33.2012,-96.6680
Fort Collins,161,175,143,986,40.5482,-105.0648
Lancaster,161,103,156,633,34.6936,-118.1753
Cary,159,769,135,234,35.7821,-78.8141
Palmdale,158,351,152,750,34.5913,-118.1090
Hayward,158,289,144,186,37.6281,-122.1063
Salinas,157,380,150,441,36.6902,-121.6337
Frisco,154,407,116,989,33.1510,-96.8193
Springfield,154,341,153,060,42.1155,-72.5400
Pasadena,153,784,149,043,29.6583,-95.1505
Macon,153,515,91,351,32.505,-83.396
Alexandria,153,511,139,966,38.8183,-77.0820
Pomona,153,266,149,058,34.0586,-117.7613
Lakewood,152,597,142,980,39.6989,-105.1176
Sunnyvale,151,754,140,081,37.3858,-122.0263
Escondido,151,451,143,911,33.1336,-117.0732
Kansas City,151,306,145,786,39.1225,-94.7418
Hollywood,149,728,140,768,26.0311,-80.1646
Clarksville,149,176,132,929,36.5664,-87.3452
Torrance,148,475,145,438,33.8350,-118.3414
Rockford,148,278,152,871,42.2634,-89.0628
Joliet,147,861,147,433,41.5181,-88.1584
Paterson,147,754,146,199,40.9147,-74.1628
Bridgeport,147,629,144,229,41.1874,-73.1957
Naperville,147,100,141,853,41.7492,-88.1620
Savannah,145,674,136,286,32.0025,-81.1536
Mesquite,144,788,139,824,32.7639,-96.5924
Syracuse,144,142,145,170,43.0410,-76.1436
Pasadena,142,250,137,122,34.1606,-118.1396
Orange,140,992,136,416,33.8048,-117.8249
Fullerton,140,847,135,161,33.8857,-117.9280
Killeen,140,806,127,921,31.0777,-97.7320
Dayton,140,599,141,527,39.7774,-84.1996
McAllen,140,269,129,877,26.2185,-98.2461
Bellevue,139,820,122,363,47.5978,-122.1565
Miramar,137,132,122,041,25.9770,-80.3358
Hampton,136,454,137,436,37.0480,-76.2971
West Valley City,136,208,129,480,40.6885,-112.0118
Warren,135,358,134,056,42.4929,-83.0250
Olathe,134,305,125,872,38.8843,-94.8188
Columbia,133,803,129,272,34.0298,-80.8966
Thornton,133,451,118,772,39.9180,-104.9454
Carrollton,133,168,119,097,32.9884,-96.8998
Midland,132,950,111,147,32.0299,-102.1097
Charleston,132,609,120,083,32.8179,-79.9589
Waco,132,356,124,805,31.5601,-97.1860
Sterling Heights,132,052,129,699,42.5812,-83.0303
Denton,131,044,113,383,33.2151,-97.1417
Cedar Rapids,130,405,126,326,41.9670,-91.6778
New Haven,130,322,129,779,41.3108,-72.9250
Roseville,130,269,118,788,38.7657,-121.3032
Gainesville,130,128,124,354,29.6788,-82.3459
Visalia,130,104,124,442,36.3272,-119.3234
Coral Springs,129,485,121,096,26.2708,-80.2593
Thousand Oaks,129,339,126,683,34.1933,-118.8742
Elizabeth,129,007,124,969,40.6663,-74.1935
Stamford,128,874,122,643,41.0799,-73.5460
Concord,128,667,122,067,37.9722,-122.0016
Surprise,128,422,117,517,33.6706,-112.4527
Lafayette,127,657,120,623,30.2116,-92.0314
Topeka,127,265,127,473,39.0362,-95.6948
Kent,126,952,92,411,47.3853,-122.2169
Simi Valley,126,788,124,237,34.2669,-118.7485
Santa Clara,126,215,116,468,37.3646,-121.9679
Murfreesboro,126,118,108,755,35.8522,-86.4161
Hartford,124,006,124,775,41.7660,-72.6833
Athens,122,604,115,452,33.9496,-83.3701
Victorville,122,225,115,903,34.5277,-117.3536
Abilene,121,721,117,063,32.4545,-99.7381
Vallejo,121,253,115,942,38.1079,-122.2639
Berkeley,120,972,112,580,37.8667,-122.2991
Norman,120,284,110,925,35.22,-97.44
Allentown,120,207,118,032,40.5940,-75.4782
Evansville,119,943,117,429,37.9877,-87.5347
Columbia,119,108,108,500,38.9479,-92.3261
Odessa,118,968,99,940,31.8804,-102.3434
Fargo,118,523,105,549,46.8652,-96.8290
Beaumont,118,129,118,296,30.0843,-94.1458
Independence,117,255,116,830,39.0853,-94.3513
Ann Arbor,117,070,113,934,42.2756,-83.7313
